Rank,Draft Round,Player
1,1,Shohei Ohtani
2,1,Aaron Judge
3,1,Juan Soto
4,1,Paul Skenes
5,1,Tarik Skubal
6,1,Bobby Witt Jr.
7,1,Jose Ramirez
8,1,Garrett Crochet
9,1,Kyle Tucker
10,1,Ronald Acuna Jr.
11,1,Cristopher Sanchez
12,1,Ketel Marte
13,2,Fernando Tatis Jr.
14,2,Gunnar Henderson
15,2,Corbin Carroll
16,2,Junior Caminero
17,2,Bryan Woo
18,2,Logan Gilbert
19,2,Logan Webb
20,2,Cal Raleigh
21,2,Vladimir Guerrero Jr.
22,2,Kyle Schwarber
23,2,Julio Rodriguez
24,2,Hunter Brown
25,3,Yoshinobu Yamamoto
26,3,Chris Sale
27,3,Mookie Betts
28,3,Max Fried
29,3,Yordan Alvarez
30,3,Alex Bregman
31,3,Manny Machado
32,3,Jesus Luzardo
33,3,Jacob deGrom
34,3,Jackson Chourio
35,3,Joe Ryan
36,3,William Contreras
37,4,Francisco Lindor
38,4,Brent Rooker
39,4,Mason Miller
40,4,Nico Hoerner
41,4,George Kirby
42,4,Framber Valdez
43,4,Cole Ragans
44,4,Cody Bellinger
45,4,Freddy Peralta
46,4,Dylan Cease
47,4,Steven Kwan
48,4,Elly De La Cruz
49,5,Edwin Diaz
50,5,Cade Smith
51,5,Geraldo Perdomo
52,5,Kevin Gausman
53,5,Maikel Garcia
54,5,Nick Pivetta
55,5,Ben Rice
56,5,Jose Altuve
57,5,Matt Olson
58,5,Roman Anthony
59,5,George Springer
60,5,Jarren Duran
61,6,Andres Munoz
62,6,Sonny Gray
63,6,Pete Alonso
64,6,Jackson Merrill
65,6,Jhoan Duran
66,6,Zack Wheeler
67,6,Jazz Chisholm Jr.
68,6,Brice Turang
69,6,Ryan Pepiot
70,6,Pete Crow-Armstrong
71,6,Trea Turner
72,6,Nathan Eovaldi
73,7,Nick Kurtz
74,7,Shea Langeliers
75,7,Devin Williams
76,7,Ozzie Albies
77,7,Luis Castillo
78,7,Christian Yelich
79,7,Eury Perez
80,7,Josh Naylor
81,7,Ian Happ
82,7,Freddie Freeman
83,7,Kyle Bradish
84,7,Taylor Ward
85,8,David Bednar
86,8,Will Smith
87,8,James Wood
88,8,Vinnie Pasquantino
89,8,Seiya Suzuki
90,8,Blake Snell
91,8,Wyatt Langford
92,8,Aroldis Chapman
93,8,Spencer Strider
94,8,Brandon Woodruff
95,8,Corey Seager
96,8,Drake Baldwin
97,9,Tanner Bibee
98,9,Rafael Devers
99,9,Bryce Harper
100,9,Randy Arozarena
101,9,Gleyber Torres
102,9,Adley Rutschman
103,9,Austin Riley
104,9,Salvador Perez
105,9,Yandy Diaz
106,9,Raisel Iglesias
107,9,Brandon Nimmo
108,9,Riley Greene
109,10,Zac Gallen
110,10,Eugenio Suarez
111,10,Yainer Diaz
112,10,Nolan McLean
113,10,Alec Burleson
114,10,Luke Keaschall
115,10,Tyler Soderstrom
116,10,Emilio Pagan
117,10,Jacob Misiorowski
118,10,Willy Adames
119,10,Bo Bichette
120,10,Chase Burns
121,11,Drew Rasmussen
122,11,Matt Chapman
123,11,Nick Lodolo
124,11,Jeremy Pena
125,11,Byron Buxton
126,11,Agustin Ramirez
127,11,Michael King
128,11,Michael Harris II
129,11,Andy Pages
130,11,Brendan Donovan
131,11,Bryan Reynolds
132,11,Caleb Durbin
133,12,Emmet Sheehan
134,12,Ranger Suarez
135,12,Tyler Glasnow
136,12,Zach Neto
137,12,Marcus Semien
138,12,Andrew Abbott
139,12,Bryan Abreu
140,12,MacKenzie Gore
141,12,Griffin Jax
142,12,Josh Hader
143,12,Oneil Cruz
144,12,Hunter Goodman
145,13,Alejandro Kirk
146,13,Abner Uribe
147,13,Jakob Marsee
148,13,Daylen Lile
149,13,Teoscar Hernandez
150,13,Jeff Hoffman
151,13,Gavin Williams
152,13,Jacob Wilson
153,13,Cam Schlittler
154,13,Jung Hoo Lee
155,13,Pete Fairbanks
156,13,Matthew Boyd
157,14,CJ Abrams
158,14,Ryan Helsley
159,14,Robbie Ray
160,14,Shota Imanaga
161,14,Kyle Stowers
162,14,Luis Arraez
163,14,Gabriel Moreno
164,14,Sal Frelick
165,14,Kenley Jansen
166,14,Bryson Stott
167,14,Trevor Megill
168,14,Jack Flaherty
169,15,Xavier Edwards
170,15,Otto Lopez
171,15,Merrill Kelly
172,15,Trevor Rogers
173,15,Brandon Lowe
174,15,TJ Friedl
175,15,Daniel Palencia
176,15,Sandy Alcantara
177,15,Michael Busch
178,15,Shane Baz
179,15,Ernie Clement
180,15,Jac Caglianone
181,16,Tatsuya Imai
182,16,Dansby Swanson
183,16,Aaron Nola
184,16,Yusei Kikuchi
185,16,Kazuma Okamoto
186,16,Kris Bubic
187,16,Ryan O'Hearn
188,16,Jose Soriano
189,16,Heliot Ramos
190,16,Bubba Chandler
191,16,J.T. Realmuto
192,16,Jo Adell
193,17,Luis Garcia Jr.
194,17,Bailey Ober
195,17,Isaac Paredes
196,17,Christian Walker
197,17,Ceddanne Rafaela
198,17,J.P. Crawford
199,17,Jeff McNeil
200,17,Joe Musgrove
201,17,Wilyer Abreu
202,17,Carlos Estevez
203,17,Marcell Ozuna
204,17,Daulton Varsho
205,18,Mitch Keller
206,18,Lawrence Butler
207,18,Spencer Torkelson
208,18,Adolis Garcia
209,18,Ryan Walker
210,18,Gerrit Cole
211,18,Alec Bohm
212,18,Edward Cabrera
213,18,Samuel Basallo
214,18,Jorge Polanco
215,18,Xander Bogaerts
216,18,Brady Singer
217,19,Robert Garcia
218,19,Kerry Carpenter
219,19,Carlos Rodon
220,19,Trevor Story
221,19,Nolan Arenado
222,19,Grant Taylor
223,19,Noelvi Marte
224,19,Michael Wacha
225,19,Matt McLain
226,19,Cade Horton
227,19,Seth Lugo
228,19,Austin Wells
229,20,Mike Trout
230,20,Jake Cronenworth
231,20,Kyle Teel
232,20,Chandler Simpson
233,20,Trey Yesavage
234,20,Miguel Vargas
235,20,Jonathan India
236,20,Shane McClanahan
237,20,Andrew Benintendi
238,20,Clay Holmes
239,20,Willson Contreras
240,20,Jackson Holliday
241,21,Jeremiah Estrada
242,21,Ryan Jeffers
243,21,Ramon Laureano
244,21,Shane Smith
245,21,Noah Cameron
246,21,Jack Leiter
247,21,Cody Ponce
248,21,Lars Nootbaar
249,21,Chris Bassitt
250,21,Carlos Correa
251,21,Dylan Crews
252,21,Ian Seymour
253,22,Carter Jensen
254,22,Edwin Uceta
255,22,Trent Grisham
256,22,Ivan Herrera
257,22,Kodai Senga
258,22,Nolan Schanuel
259,22,Luis Robert Jr.
260,22,Josh Bell
261,22,Trevor Larnach
262,22,Spencer Steer
263,22,David Peterson
264,22,Gavin Sheets
265,23,Addison Barger
266,23,Brayan Bello
267,23,Francisco Alvarez
268,23,Jasson Dominguez
269,23,Shane Bieber
270,23,Robert Suarez
271,23,Andrew Vaughn
272,23,Seranthony Dominguez
273,23,Max Muncy
274,23,Harrison Bader
275,23,Dillon Dingler
276,23,Chad Patrick
277,24,Andres Gimenez
278,24,Giancarlo Stanton
279,24,Jeffrey Springs
280,24,Jonathan Aranda
281,24,Cedric Mullins
282,24,Reid Detmers
283,24,Masyn Winn
284,24,Joey Cantillo
285,24,Tyler Stephenson
286,24,Jameson Taillon
287,24,Chase Meidroth
288,24,Sal Stewart
289,25,Chase DeLauter
290,25,Carson Kelly
291,25,Brandon Pfaadt
292,25,Bo Naylor
293,25,Brenton Doyle
294,25,Royce Lewis
295,25,Brooks Lee
296,25,Grayson Rodriguez
297,25,Ezequiel Tovar
298,25,Dominic Canzone
299,25,Keibert Ruiz
300,25,Ryne Nelson
301,26,Evan Carter
302,26,Will Vest
303,26,Sean Manaea
304,26,Alex Vesia
305,26,Mike Burrows
306,26,Kevin Ginkel
307,26,Jose A. Ferrer
308,26,Jorge Soler
309,26,Brandon Marsh
310,26,Luke Weaver
311,26,Tanner Scott
312,26,Phil Maton
313,27,Matt Brash
314,27,Adrian Morejon
315,27,Camilo Doval
316,27,Fernando Cruz
317,27,Matt Strahm
318,27,Orion Kerkering
319,27,Jason Adam
320,27,Bryan King
321,27,Jose Alvarado
322,27,Gabe Speier
323,27,Dylan Lee
324,27,Chris Martin
325,28,JoJo Romero
