1. Shohei Ohtani (TWP, LAD)
2. Bobby Witt Jr. (SS, KC)
3. Aaron Judge (RF, NYY)
4. Ronald Acuna Jr. (RF, ATL)
5. Tarik Skubal (SP, DET)
6. Jose Ramirez (3B, CLE)
7. Juan Soto (RF, NYM)
8. Paul Skenes (SP, PIT)
9. Julio Rodriguez (CF, SEA)
10. Corbin Carroll (RF, AZ)
11. Elly De La Cruz (SS, CIN)
12. Garrett Crochet (SP, BOS)
13. Jackson Chourio (CF, MIL)
14. Fernando Tatis Jr. (RF, SD)
15. Junior Caminero (3B, TB)
16. Vladimir Guerrero Jr. (1B, TOR)
17. Kyle Tucker (RF, FA)
18. Nick Kurtz (1B, ATH)
19. Gunnar Henderson (SS, BAL)
20. Francisco Lindor (SS, NYM)
21. Kyle Schwarber (LF, PHI)
22. James Wood (LF, WSH)
23. Ketel Marte (2B, AZ)
24. Yoshinobu Yamamoto (SP, LAD)
25. Jazz Chisholm Jr. (2B, NYY)
26. Pete Alonso (1B, BAL)
27. Hunter Brown (SP, HOU)
28. Logan Gilbert (SP, SEA)
29. Yordan Alvarez (LF, HOU)
30. Zach Neto (SS, LAA)
31. Wyatt Langford (LF, TEX)
32. Trea Turner (SS, PHI)
33. Roman Anthony (RF, BOS)
34. Bryce Harper (1B, PHI)
35. Mason Miller (RP, SD)
36. Cristopher Sanchez (SP, PHI)
37. Pete Crow-Armstrong (CF, CHC)
38. Mookie Betts (SS, LAD)
39. Manny Machado (3B, SD)
40. Rafael Devers (DH, SF)
41. Matt Olson (1B, ATL)
42. Cal Raleigh (C, SEA)
43. Brent Rooker (RF, ATH)
44. Cole Ragans (SP, KC)
45. Riley Greene (LF, DET)
46. Jackson Merrill (CF, SD)
47. CJ Abrams (SS, WSH)
48. Bryan Woo (SP, SEA)
49. Andres Munoz (RP, SEA)
50. George Kirby (SP, SEA)
51. Max Fried (SP, NYY)
52. Josh Naylor (1B, SEA)
53. Joe Ryan (SP, MIN)
54. Eury Perez (SP, MIA)
55. Austin Riley (3B, ATL)
56. Freddie Freeman (1B, LAD)
57. Logan Webb (SP, SF)
58. Corey Seager (SS, TEX)
59. Seiya Suzuki (RF, CHC)
60. Chris Sale (SP, ATL)
61. Freddy Peralta (SP, MIL)
62. Jeremy Pena (SS, HOU)
63. Edwin Diaz (RP, LAD)
64. Jhoan Duran (RP, PHI)
65. Geraldo Perdomo (SS, AZ)
66. Bo Bichette (SS, FA)
67. Maikel Garcia (3B, KC)
68. Brice Turang (2B, MIL)
69. Jacob deGrom (SP, TEX)
70. William Contreras (C, MIL)
71. Jarren Duran (LF, BOS)
72. Cody Bellinger (LF, FA)
73. Alex Bregman (3B, FA)
74. Dylan Cease (SP, TOR)
75. Tyler Soderstrom (LF, ATH)
76. Vinnie Pasquantino (1B, KC)
77. Jesus Luzardo (SP, PHI)
78. Spencer Strider (SP, ATL)
79. Byron Buxton (CF, MIN)
80. Cade Smith (RP, CLE)
81. Blake Snell (SP, LAD)
82. Michael Busch (1B, CHC)
83. Ben Rice (1B, NYY)
84. Oneil Cruz (CF, PIT)
85. Framber Valdez (SP, FA)
86. Chase Burns (SP, CIN)
87. Randy Arozarena (LF, SEA)
88. Shea Langeliers (C, ATH)
89. Nolan McLean (SP, NYM)
90. Michael Harris II (CF, ATL)
91. Andy Pages (CF, LAD)
92. Christian Yelich (LF, MIL)
93. Lawrence Butler (RF, ATH)
94. Tyler Glasnow (SP, LAD)
95. Willy Adames (SS, SF)
96. Konnor Griffin (SS, PIT)
97. Nick Pivetta (SP, SD)
98. Jacob Misiorowski (SP, MIL)
99. Kyle Stowers (LF, MIA)
100. Hunter Goodman (C, COL)
101. Agustin Ramirez (C, MIA)
102. Jackson Holliday (2B, BAL)
103. Kyle Bradish (SP, BAL)
104. Zack Wheeler (SP, PHI)
105. Luke Keaschall (2B, MIN)
106. Kevin McGonigle (SS, DET)
107. Michael King (SP, SD)
108. Hunter Greene (SP, CIN)
109. Eugenio Suarez (3B, SEA)
110. Jose Altuve (LF, HOU)
111. Drake Baldwin (C, ATL)
112. Teoscar Hernandez (RF, LAD)
113. Emmet Sheehan (SP, LAD)
114. Nico Hoerner (2B, CHC)
115. Ceddanne Rafaela (CF, BOS)
116. Jo Adell (CF, LAA)
117. MacKenzie Gore (SP, WSH)
118. Nick Lodolo (SP, CIN)
119. Devin Williams (RP, NYM)
120. Bubba Chandler (SP, PIT)
121. Spencer Torkelson (1B, DET)
122. Will Smith (C, LAD)
123. Ryan Pepiot (SP, TB)
124. Trey Yesavage (SP, TOR)
125. Jordan Westburg (3B, BAL)
126. Jacob Wilson (SS, ATH)
127. Josh Hader (RP, HOU)
128. Sandy Alcantara (SP, MIA)
129. Matt Chapman (3B, SF)
130. Samuel Basallo (C, BAL)
131. JJ Wetherholt (SS, STL)
132. Isaac Paredes (3B, HOU)
133. Gavin Williams (SP, CLE)
134. Leodalis De Vries (SS, OAK)
135. Luis Robert Jr. (CF, CWS)
136. Jonathan Aranda (1B, TB)
137. Mike Trout (RF, LAA)
138. Heliot Ramos (LF, SF)
139. Sebastian Walcott (SS, TEX)
140. Raisel Iglesias (RP, ATL)
141. Drew Rasmussen (SP, TB)
142. Kevin Gausman (SP, TOR)
143. Robbie Ray (SP, SF)
144. Addison Barger (3B, TOR)
145. Bryce Eldridge (1B, SF)
146. Colt Emerson (SS, SEA)
147. George Springer (RF, TOR)
148. Yandy Diaz (1B, TB)
149. Ozzie Albies (2B, ATL)
